iter	Logloss
0	0.6824913222
1	0.6712051375
2	0.6620418553
3	0.6495121086
4	0.638971156
5	0.6303535709
6	0.6222478836
7	0.6142888853
8	0.6072840134
9	0.5997838564
10	0.5927522841
11	0.5856628238
12	0.5812643219
13	0.5741282065
14	0.5687787265
15	0.5625524838
16	0.5579051083
17	0.5529156731
18	0.5485980608
19	0.5446724585
20	0.5415911555
21	0.5373924933
22	0.5319980405
23	0.52921472
24	0.5257664681
25	0.5231170089
26	0.5190408717
27	0.5156651411
28	0.5132797912
29	0.5090473206
30	0.5058354379
31	0.5028080436
32	0.5005165309
33	0.4986640775
34	0.4964954138
35	0.493756529
36	0.4912993114
37	0.4897838845
38	0.4870842338
39	0.4849182218
40	0.4831745155
41	0.4812604041
42	0.4791531593
43	0.4768678475
44	0.4751682287
45	0.4732211128
46	0.4717223485
47	0.4697315348
48	0.4683209769
49	0.4665450142
50	0.464512074
51	0.4627984654
52	0.4610705462
53	0.459835339
54	0.4585230865
55	0.4573056274
56	0.4558607514
57	0.4547104082
58	0.4534924895
59	0.4525787014
60	0.451765693
61	0.450529451
62	0.4493231316
63	0.4478173984
64	0.4467255629
65	0.4459348121
66	0.4447594844
67	0.4438305772
68	0.4428099996
69	0.4417955873
70	0.4410526316
71	0.4402130427
72	0.4391766796
73	0.4380836156
74	0.4371570624
75	0.4365193682
76	0.4355919848
77	0.4344773768
78	0.4334898098
79	0.4327676401
80	0.4318522396
81	0.4309900823
82	0.4303946916
83	0.4299014641
84	0.4288619867
85	0.4281224669
86	0.4275384013
87	0.4267840086
88	0.4262253725
89	0.4254047673
90	0.4244968407
91	0.4236329276
92	0.4229031725
93	0.4222684808
94	0.4213989237
95	0.4206960503
96	0.4199496585
97	0.4194498488
98	0.4189692796
99	0.4182109712
100	0.4178997153
101	0.4172948403
102	0.4166802198
103	0.4160030004
104	0.4154386849
105	0.4150178713
106	0.4143523339
107	0.4139200349
108	0.4133796535
109	0.4127140766
110	0.4121485786
111	0.4116238992
112	0.4111631514
113	0.4107729166
114	0.4101730782
115	0.4098134235
116	0.4094232393
117	0.4088790608
118	0.4083058709
119	0.4079059136
120	0.4073524168
121	0.4070110845
122	0.4066475785
123	0.406082694
124	0.4055260855
125	0.4049534932
126	0.404556271
127	0.4039962443
128	0.4035312531
129	0.4033507902
130	0.402956936
131	0.4025412446
132	0.4022878574
133	0.401814707
134	0.4013521074
135	0.4009786819
136	0.4004175472
137	0.4001893578
138	0.3999365131
139	0.3995076273
140	0.3991118243
141	0.3989073426
142	0.3981817522
143	0.3977385138
144	0.3973198131
145	0.3968590251
146	0.3965497137
147	0.3961175942
148	0.3956822326
149	0.3954423126
150	0.3952184075
151	0.3950237805
152	0.3948586593
153	0.3945703727
154	0.3942395334
155	0.3940389864
156	0.3936700491
157	0.3934955719
158	0.393224491
159	0.3929208484
160	0.3924367069
161	0.3922176461
162	0.3917084787
163	0.3914925144
164	0.3912392758
165	0.3909158306
166	0.3907138668
167	0.3902548345
168	0.3900545295
169	0.3897966723
170	0.3896185191
171	0.389267534
172	0.3889803611
173	0.3887125739
174	0.3883953896
175	0.3881617848
176	0.3880119683
177	0.3878756041
178	0.3875298097
179	0.387222873
180	0.3869974421
181	0.3867491662
182	0.3865119594
183	0.3863122626
184	0.3860528868
185	0.3857742057
186	0.3854666965
187	0.3852888364
188	0.3847656647
189	0.3844457404
190	0.3842851169
191	0.3840410246
192	0.3837398413
193	0.3835706403
194	0.3833482639
195	0.3830283584
196	0.3827597257
197	0.3824780851
198	0.3822282181
199	0.3819003754
200	0.3817175759
201	0.381448305
202	0.3811299751
203	0.3808843425
204	0.3806008357
205	0.3803167357
206	0.3801202936
207	0.37987497
208	0.3794141002
209	0.3792398202
210	0.3790681284
211	0.3788041573
212	0.3785663514
213	0.378329648
214	0.3781873286
215	0.3777981904
216	0.3775964736
217	0.3774058273
218	0.3771856197
219	0.3769766602
220	0.3768896865
221	0.3766384707
222	0.3764685054
223	0.3763780684
224	0.3762237494
225	0.375968165
226	0.3757381597
227	0.3754728049
228	0.3753267432
229	0.3751240195
230	0.3750069386
231	0.3748478347
232	0.37458218
233	0.3745075808
234	0.3743951557
235	0.3742390891
236	0.3739823584
237	0.3736165799
238	0.3733250442
239	0.3731010873
240	0.3728098482
241	0.3726325609
242	0.3724650584
243	0.3721253568
244	0.3719319537
245	0.3717927365
246	0.3715446652
247	0.3714018941
248	0.3713074707
249	0.3711244167
250	0.3709538747
251	0.3707888863
252	0.370643219
253	0.3702891141
254	0.3700857226
255	0.3699207675
256	0.3696877414
257	0.3696326765
258	0.3695269125
259	0.3692157077
260	0.3691105042
261	0.3689752482
262	0.368953351
263	0.3688185515
264	0.3685984696
265	0.3684177086
266	0.3683320367
267	0.3681360244
268	0.3679672809
269	0.367852106
270	0.3677438092
271	0.3675920933
272	0.36749954
273	0.3673612315
274	0.3671737255
275	0.3669385719
276	0.3666259861
277	0.3664428832
278	0.3662911637
279	0.3661635123
280	0.366046519
281	0.3659343861
282	0.3657584604
283	0.3656748683
284	0.3655241497
285	0.3654327724
286	0.3652319025
287	0.3650327595
288	0.3647919521
289	0.3646818196
290	0.3645679153
291	0.3643736461
292	0.3642706599
293	0.364103807
294	0.3639653581
295	0.3636381212
296	0.363385892
297	0.3631530093
298	0.3629473073
299	0.362818949
300	0.3626689195
301	0.3622871277
302	0.362122686
303	0.3620173152
304	0.3618308182
305	0.3616813687
306	0.3614268484
307	0.3612455437
308	0.36106778
309	0.3609248576
310	0.3608486844
311	0.3607479546
312	0.3605986045
313	0.3604607309
314	0.360268297
315	0.3601824499
316	0.3598891946
317	0.359596059
318	0.3594604466
319	0.3592907142
320	0.3590295192
321	0.3587341121
322	0.3586107329
323	0.3584705025
324	0.3583070339
325	0.3581484812
326	0.3580878141
327	0.3578568794
328	0.3576549384
329	0.3575135967
330	0.3573825946
331	0.3572099044
332	0.3568504828
333	0.3567026576
334	0.3565208529
335	0.3562247756
336	0.3561262721
337	0.3559814439
338	0.3558396349
339	0.3556633761
340	0.3555189846
341	0.3554126256
342	0.3552900723
343	0.3551769725
344	0.3550832393
345	0.3549819023
346	0.3548555366
347	0.3546028993
348	0.3542561025
349	0.3540679406
350	0.3539446358
351	0.3538446535
352	0.35361497
353	0.3534611914
354	0.3533366573
355	0.3531352573
356	0.3530129188
357	0.3529246907
358	0.3527573822
359	0.3525602074
360	0.3524367498
361	0.3523336318
362	0.3521323551
363	0.3519980145
364	0.3518834378
365	0.351747707
366	0.3516751665
367	0.351568019
368	0.3514356403
369	0.3512164207
370	0.3511145903
371	0.3509848577
372	0.3508876034
373	0.3508225402
374	0.3506723946
375	0.3504829195
376	0.3503713735
377	0.3502579082
378	0.3500601382
379	0.3499136335
380	0.3497274872
381	0.3495644769
382	0.349459445
383	0.3492844673
384	0.3491580126
385	0.3490666977
386	0.3488781845
387	0.3487433136
388	0.3486125836
389	0.3484653582
390	0.3482633116
391	0.3480970565
392	0.3480286107
393	0.3479237993
394	0.3478132634
395	0.3477176748
396	0.3476036789
397	0.3474931109
398	0.347379312
399	0.3472791041
400	0.3470588291
401	0.3469026025
402	0.3467713017
403	0.3465092897
404	0.3463949661
405	0.3462694304
406	0.3461010133
407	0.3459641219
408	0.3458790042
409	0.3457953777
410	0.3455679747
411	0.3454065724
412	0.3452770165
413	0.3450750147
414	0.3449614075
415	0.3448408639
416	0.3446987225
417	0.3444759068
418	0.3443427075
419	0.3442498564
420	0.3441509619
421	0.3440678942
422	0.3439189396
423	0.3438291826
424	0.3436419376
425	0.343508831
426	0.3434188205
427	0.3432760371
428	0.3431933229
429	0.342943979
430	0.3426595743
431	0.3425203986
432	0.342359435
433	0.3421928956
434	0.3420180673
435	0.3416908478
436	0.3415433016
437	0.3414391869
438	0.341299102
439	0.3411373194
440	0.3410488047
441	0.3408989763
442	0.3408140449
443	0.3407025831
444	0.3405805298
445	0.3404281753
446	0.3402654072
447	0.3400545626
448	0.3397906608
449	0.3396813244
450	0.3395848588
451	0.3394502165
452	0.3393197528
453	0.3392122452
454	0.3390571151
455	0.3388135463
456	0.3387257282
457	0.3386365554
458	0.3384239936
459	0.3382810748
460	0.33819441
461	0.3380160889
462	0.3378573652
463	0.3377516481
464	0.3376469385
465	0.337530373
466	0.3374191066
467	0.3373207767
468	0.3371774891
469	0.3369249952
470	0.3368294881
471	0.3366618181
472	0.3365612418
473	0.3363647676
474	0.3362675131
475	0.3361073174
476	0.3359088325
477	0.3357052119
478	0.3355945839
479	0.3354321413
480	0.3352501024
481	0.3351308272
482	0.3350196393
483	0.334845795
484	0.3346797471
485	0.3345834421
486	0.3344497015
487	0.3343324224
488	0.3341747611
489	0.333962386
490	0.3338679249
491	0.3337812403
492	0.3335366637
493	0.33333477
494	0.3331391758
495	0.3329911053
496	0.3328324843
497	0.3327490645
498	0.3326391517
499	0.3324930962
500	0.3323508231
501	0.3322565474
502	0.3320728235
503	0.331897577
504	0.3316523285
505	0.3314916335
506	0.3312892536
507	0.3310490429
508	0.3308779183
509	0.3307529346
510	0.3305840396
511	0.3304477744
512	0.3303435814
513	0.3302378063
514	0.3301059985
515	0.3299604135
516	0.3298342559
517	0.3297526097
518	0.329604223
519	0.329456092
520	0.3293108753
521	0.3292240283
522	0.329049765
523	0.3289116408
524	0.3287982097
525	0.3286453611
526	0.328434609
527	0.3283103918
528	0.3281782388
529	0.327967061
530	0.3278067561
531	0.32760607
532	0.3274242021
533	0.3272915046
534	0.3271540168
535	0.3270469028
536	0.3268877937
537	0.3267187326
538	0.3264940087
539	0.3263513977
540	0.3262076091
541	0.3260156988
542	0.3259092193
543	0.3258272242
544	0.3257135232
545	0.3256278583
546	0.3254546588
547	0.3253165726
548	0.3252047878
549	0.3250545183
550	0.3249174816
551	0.3248043232
552	0.3246767981
553	0.3244790009
554	0.3243509001
555	0.3242508941
556	0.3241711287
557	0.3240486854
558	0.323987789
559	0.3238871323
560	0.3237455412
561	0.3235832087
562	0.3234029801
563	0.3232476923
564	0.3231310833
565	0.3230614067
566	0.3229828639
567	0.3228940551
568	0.3227254948
569	0.3226225448
570	0.3224627432
571	0.3222483559
572	0.3220622977
573	0.321915893
574	0.3217931996
575	0.3217107548
576	0.3215965449
577	0.3214781397
578	0.3213606138
579	0.3212755394
580	0.3210981654
581	0.3209496806
582	0.3208177518
583	0.3206748789
584	0.3205287722
585	0.3204262613
586	0.3202801992
587	0.3201790667
588	0.3200005672
589	0.3199385125
590	0.3198296092
591	0.3197223571
592	0.3195535927
593	0.3193965137
594	0.3192582968
595	0.3191081703
596	0.3190044334
597	0.3188821033
598	0.3187884571
599	0.3186131668
600	0.3185208372
601	0.3184660476
602	0.3183452819
603	0.3182347367
604	0.3181558469
605	0.3180009786
606	0.3178509995
607	0.3177328254
608	0.3176038339
609	0.3174618574
610	0.3173441895
611	0.3172532077
612	0.3171065726
613	0.3169505153
614	0.3168387541
615	0.3167194829
616	0.3166210462
617	0.3165275098
618	0.316421484
619	0.3163369731
620	0.3162405794
621	0.3160861545
622	0.3159317049
623	0.315862852
624	0.3157218779
625	0.3155656429
626	0.3154391003
627	0.3153243386
628	0.3151619491
629	0.3150731572
630	0.3149641656
631	0.3148075202
632	0.3146632105
633	0.3145813911
634	0.3144627546
635	0.314372465
636	0.3142952787
637	0.3142225021
638	0.3141418192
639	0.3140202577
640	0.3139486976
641	0.3138735607
642	0.313758663
643	0.3135956482
644	0.3134573068
645	0.3133421469
646	0.3132628704
647	0.3131524969
648	0.3130054875
649	0.3128868491
650	0.3127607934
651	0.3126877741
652	0.3125897345
653	0.3125246394
654	0.3123902033
655	0.3123052458
656	0.3121837877
657	0.3120881449
658	0.3119578762
659	0.3118586619
660	0.3117537023
661	0.3116741321
662	0.3115559349
663	0.3114447385
664	0.311321083
665	0.3112740209
666	0.3112217428
667	0.3110383428
668	0.3109436656
669	0.3108433966
670	0.3106916263
671	0.3105544903
672	0.3104373227
673	0.3103301058
674	0.3101529446
675	0.3100003582
676	0.3099014564
677	0.3097104557
678	0.3095912463
679	0.3094504174
680	0.309361331
681	0.3093157546
682	0.3092232839
683	0.3091521804
684	0.3090266128
685	0.3088922329
686	0.3087839892
687	0.3086557076
688	0.30854386
689	0.3083798899
690	0.3082858896
691	0.3081684541
692	0.3080712302
693	0.3079653022
694	0.3078994131
695	0.3077577903
696	0.307669443
697	0.3075465792
698	0.3074888989
699	0.3073464303
700	0.3071909499
701	0.3070709618
702	0.3069866959
703	0.3068622218
704	0.3067299679
705	0.3066474635
706	0.3065113233
707	0.3063662363
708	0.3063028991
709	0.3061572921
710	0.3060282284
711	0.3059518246
712	0.3058905703
713	0.3057673879
714	0.3056981135
715	0.3056003735
716	0.3055089444
717	0.305409541
718	0.3052847529
719	0.3051756392
720	0.3049994654
721	0.3048725541
722	0.3047228361
723	0.3046208902
724	0.3045075276
725	0.3043333375
726	0.3042552763
727	0.3041309285
728	0.3040361838
729	0.3039268005
730	0.3038065154
731	0.3036696386
732	0.3036008217
733	0.3034252011
734	0.3033735123
735	0.3032982861
736	0.3032131401
737	0.3031477109
738	0.3029924821
739	0.3029417532
740	0.3027899439
741	0.3027155065
742	0.3026025495
743	0.3024848904
744	0.3024207114
745	0.3022983203
746	0.3022101508
747	0.3021309344
748	0.3020350149
749	0.3019473699
750	0.301832795
751	0.3017280262
752	0.3016879658
753	0.301592648
754	0.3014510447
755	0.301309458
756	0.3012003608
757	0.301104604
758	0.3009404029
759	0.30084662
760	0.3007553114
761	0.3006864691
762	0.3006022115
763	0.3005008162
764	0.3003247145
765	0.3002532689
766	0.3001548165
767	0.3000266989
768	0.2999140992
769	0.2998452611
770	0.2996659423
771	0.2995718454
772	0.2994908801
773	0.2993480346
774	0.2992756739
775	0.299172155
776	0.2991037047
777	0.2989929342
778	0.2988432567
779	0.2987391856
780	0.298646066
781	0.2985652582
782	0.2984700706
783	0.2984077756
784	0.2983496771
785	0.2982474002
786	0.2981186579
787	0.2979670371
788	0.2978820395
789	0.297813815
790	0.2977172079
791	0.2975859883
792	0.2975056551
793	0.2974286843
794	0.2973123153
795	0.2972265144
796	0.2971075504
797	0.2969977107
798	0.296881089
799	0.296810466
800	0.2967380412
801	0.29656288
802	0.2964341245
803	0.2963669147
804	0.2962637852
805	0.2961360423
806	0.2960471013
807	0.2958359619
808	0.295775213
809	0.2957017914
810	0.2955808604
811	0.2954810837
812	0.2954035759
813	0.2953004929
814	0.2952016823
815	0.2951067197
816	0.2950120072
817	0.2949214897
818	0.2948534681
819	0.2947980584
820	0.2946853401
821	0.294563833
822	0.294508994
823	0.2944095715
824	0.2942877088
825	0.294152756
826	0.2941117915
827	0.2940269082
828	0.2939300394
829	0.2938729816
830	0.2938408926
831	0.2937334969
832	0.2936634467
833	0.2935793249
834	0.2934430458
835	0.2933490275
836	0.2932436026
837	0.2931880017
838	0.2931035791
839	0.2930776669
840	0.2929985265
841	0.2928957811
842	0.2928231361
843	0.2927014126
844	0.2926125471
845	0.2925354051
846	0.2924064787
847	0.2923305215
848	0.2922261178
849	0.2921473572
850	0.2920520216
851	0.2919375927
852	0.2918115716
853	0.2917563544
